Timestamp,Relative Time (s),CPU Usage (%),Memory Usage (Mo),Memory Usage (%),Disk Read (Mo/s),Disk Write (Mo/s),Network (Ko/s),CPU Temperature (°C),Encrypted Files,Encrypted Disk Usage (%),Encryption Speed (o/s)
19:58:26.440,162.44,25.4,637.31,21.5,0.0,3.0,0.0,68.1,1033,27.98,0
19:58:27.560,163.56,24.6,637.31,21.5,0.0,6.0,0.0,67.6,1033,27.98,0
19:58:28.670,164.67,24.5,637.3,21.5,0.0,0.01,0.0,68.1,1033,27.98,0
19:58:29.780,165.78,25.0,637.3,21.5,0.0,0.0,0.0,67.6,1033,27.98,0
19:58:30.900,166.9,25.4,637.3,21.5,0.0,0.0,0.0,66.7,1033,27.98,0
19:58:32.020,168.02,25.0,637.3,21.5,0.0,2.0,0.0,68.1,1033,27.98,0
19:58:33.140,169.14,25.0,637.79,21.5,0.0,8.09,0.0,67.2,1033,27.98,0
19:58:34.250,170.25,25.0,637.79,21.5,0.0,0.01,0.0,67.6,1033,27.98,0
19:58:35.360,171.36,25.0,637.79,21.5,0.0,0.0,0.0,67.6,1033,27.98,0
19:58:36.480,172.48,25.5,637.54,21.5,0.0,0.0,0.0,67.6,1033,27.98,0
19:58:37.590,173.59,25.0,638.77,21.5,0.0,0.0,0.0,66.7,1033,27.98,0
19:58:38.710,174.71,25.0,638.76,21.5,0.0,10.04,0.0,67.6,1033,27.98,0
19:58:39.820,175.82,25.4,638.52,21.5,0.0,0.0,0.0,66.7,1033,27.98,0
19:58:40.940,176.94,25.0,639.01,21.5,0.0,0.0,0.0,66.7,1033,27.98,0
19:58:42.060,178.06,25.4,638.76,21.5,0.0,0.0,0.0,66.2,1033,27.98,0
19:58:43.170,179.17,25.0,639.0,21.5,0.0,0.02,0.0,66.7,1033,27.98,0
19:58:44.280,180.28,25.1,639.25,21.5,0.0,9.56,0.0,67.2,1033,27.98,0
19:58:45.400,181.4,24.6,639.49,21.5,0.0,3.13,0.0,67.6,1033,27.98,0
19:58:46.520,182.52,25.1,639.49,21.5,0.0,0.0,0.0,67.2,1033,27.98,0
19:58:47.630,183.63,25.0,639.49,21.5,0.0,0.0,0.0,68.6,1033,27.98,0
19:58:48.740,184.74,20.7,628.38,21.3,0.0,0.2,0.0,66.7,1417,39.27,58371524
19:58:49.860,185.86,0.0,628.63,21.3,0.0,2.59,0.0,66.7,1417,39.27,0
19:58:50.970,186.97,0.5,628.7,21.3,0.0,15.6,0.0,65.7,1417,39.27,0
19:58:52.090,188.09,1.0,628.6,21.3,0.0,24.02,0.0,65.2,1417,39.27,0
19:58:53.200,189.2,0.0,628.6,21.3,0.0,16.3,0.0,65.2,1417,39.27,0
19:58:54.310,190.31,0.0,628.59,21.3,0.0,0.19,0.0,64.7,1417,39.27,0
19:58:55.430,191.43,0.5,628.84,21.3,0.0,0.0,0.0,63.7,1417,39.27,0
19:58:56.610,192.61,1.0,628.84,21.3,0.0,0.0,0.0,63.7,1417,39.27,0
19:58:57.720,193.72,0.0,628.84,21.3,0.0,0.0,0.0,65.2,1417,39.27,0
19:58:58.840,194.84,0.5,628.84,21.3,0.0,0.0,0.0,64.7,1417,39.27,0
19:58:59.950,195.95,1.5,628.57,21.3,0.0,0.0,0.0,64.2,1417,39.27,0
