Relative Time (s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
242.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
243.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
244.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
245.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
246.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
247.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
248.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
249.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
250.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
251.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
252.0,39.92,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
253.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
254.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
255.0,40.407,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
256.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
257.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
258.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
259.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
260.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
261.0,42.355,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
262.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
263.0,42.355,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
264.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
265.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
266.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
267.0,40.407,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
268.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
269.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
270.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
271.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
272.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
273.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
274.0,42.355,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
275.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
276.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
277.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
278.0,40.407,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
279.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
280.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
281.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
282.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
283.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
284.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
285.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
286.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
