Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C)
09:34:38.000,42.0,42.0,42.0,42.0,42.0,3.3,0.9,0.0,0.0
09:34:41.000,43.0,43.0,43.0,43.0,43.0,4.2,1.7,0.0,0.0
09:34:44.000,38.0,38.0,38.0,38.0,40.0,3.2,0.8,0.0,0.0
09:34:47.000,40.0,40.0,40.0,40.0,40.0,3.6,1.2,0.0,0.0
09:34:51.000,43.0,44.0,43.0,45.0,45.0,4.1,1.6,0.0,0.0
09:34:54.000,38.0,38.0,38.0,38.0,39.0,3.2,0.8,0.0,0.0
09:34:57.000,40.0,40.0,40.0,40.0,40.0,3.2,0.7,0.0,0.0
09:35:00.000,42.0,42.0,42.0,42.0,42.0,3.2,0.8,0.0,0.0
09:35:03.000,43.0,43.0,43.0,44.0,44.0,3.4,1.0,0.0,0.0
09:35:06.000,39.0,39.0,39.0,39.0,40.0,3.1,0.7,0.0,0.0
09:35:09.000,40.0,40.0,40.0,40.0,41.0,3.2,0.8,0.0,0.0
09:35:12.000,39.0,39.0,39.0,39.0,40.0,3.1,0.7,0.0,0.0
09:35:15.000,39.0,39.0,39.0,39.0,40.0,3.2,0.8,0.0,0.0
09:35:18.000,39.0,39.0,39.0,39.0,40.0,3.3,0.8,0.0,0.0
09:35:21.000,47.0,46.0,43.0,46.0,47.0,11.0,8.1,0.0,0.0
09:35:24.000,40.0,40.0,40.0,40.0,40.0,3.2,0.8,0.0,0.0
09:35:27.000,39.0,39.0,39.0,39.0,39.0,3.3,0.8,0.0,0.0
09:35:30.000,40.0,40.0,40.0,40.0,45.0,3.2,0.8,0.0,0.0
09:35:33.000,43.0,43.0,43.0,43.0,43.0,3.3,0.9,0.0,0.0
09:35:36.000,43.0,43.0,43.0,43.0,43.0,3.2,0.7,0.0,0.0
09:35:39.000,39.0,39.0,39.0,39.0,39.0,3.1,0.7,0.0,0.0
09:35:42.000,45.0,45.0,45.0,45.0,45.0,3.7,1.3,0.0,0.0
09:35:45.000,43.0,43.0,43.0,42.0,42.0,3.2,0.8,0.0,0.0
09:35:48.000,40.0,40.0,40.0,40.0,40.0,3.2,0.8,0.0,0.0
09:35:51.000,40.0,40.0,40.0,40.0,40.0,3.1,0.7,0.0,0.0
09:35:54.000,42.0,41.0,41.0,41.0,41.0,3.1,0.7,0.0,0.0
09:35:57.000,44.0,44.0,44.0,44.0,44.0,3.3,0.9,0.0,0.0
09:36:00.000,43.0,42.0,42.0,42.0,42.0,3.2,0.8,0.0,0.0
09:36:03.000,45.0,45.0,45.0,45.0,45.0,4.0,1.6,0.0,0.0
09:36:06.000,42.0,42.0,42.0,42.0,42.0,3.1,0.7,0.0,0.0
09:36:09.000,43.0,43.0,43.0,43.0,43.0,3.1,0.7,0.0,0.0
09:36:12.000,43.0,43.0,44.0,45.0,45.0,3.6,1.1,0.0,0.0
09:36:15.000,39.0,39.0,39.0,39.0,40.0,3.4,0.9,0.0,0.0
09:36:18.000,39.0,39.0,39.0,39.0,45.0,3.3,0.9,0.0,0.0
09:36:21.000,41.0,41.0,41.0,41.0,41.0,3.3,0.9,0.0,0.0
09:36:24.000,42.0,42.0,42.0,42.0,42.0,3.1,0.7,0.0,0.0
09:36:27.000,38.0,38.0,38.0,38.0,39.0,3.1,0.7,0.0,0.0
09:36:30.000,43.0,43.0,43.0,43.0,43.0,3.3,0.9,0.0,0.0
09:36:33.000,43.0,43.0,43.0,43.0,43.0,3.6,1.1,0.0,0.0
09:36:36.000,44.0,43.0,43.0,44.0,44.0,3.1,0.7,0.0,0.0
09:36:39.000,38.0,38.0,38.0,38.0,39.0,3.1,0.7,0.0,0.0
09:36:42.000,41.0,41.0,41.0,41.0,41.0,3.6,1.1,0.0,0.0
