Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-04 16:14:24;61,0 °C;66,0 °C;67,0 °C;77,0 °C;77,0 °C;29,0 W;23,9 W;0,1 W;24,4 %;74,9 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:26;60,0 °C;66,0 °C;52,0 °C;51,0 °C;68,0 °C;8,5 W;5,0 W;0,2 W;5,7 %;74,8 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:28;62,0 °C;49,0 °C;52,0 °C;49,0 °C;62,0 °C;7,4 W;3,7 W;0,2 W;6,9 %;74,7 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:30;48,0 °C;52,0 °C;50,0 °C;50,0 °C;56,0 °C;9,8 W;5,7 W;0,2 W;10,2 %;74,8 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:32;50,0 °C;76,0 °C;65,0 °C;74,0 °C;76,0 °C;26,1 W;21,3 W;0,0 W;13,9 %;75,9 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:34;56,0 °C;69,0 °C;61,0 °C;70,0 °C;70,0 °C;25,9 W;20,9 W;0,0 W;15,6 %;76,7 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:36;57,0 °C;59,0 °C;57,0 °C;69,0 °C;69,0 °C;29,3 W;24,2 W;0,1 W;15,9 %;76,9 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:38;70,0 °C;53,0 °C;57,0 °C;55,0 °C;72,0 °C;27,9 W;22,9 W;0,1 W;16,3 %;76,8 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:40;55,0 °C;65,0 °C;74,0 °C;76,0 °C;76,0 °C;29,1 W;24,2 W;0,1 W;17,3 %;76,9 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:42;49,0 °C;52,0 °C;49,0 °C;50,0 °C;56,0 °C;5,6 W;2,0 W;0,1 W;4,3 %;76,8 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:44;59,0 °C;56,0 °C;50,0 °C;51,0 °C;61,0 °C;6,9 W;3,7 W;0,1 W;6,0 %;76,6 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:46;49,0 °C;52,0 °C;51,0 °C;49,0 °C;56,0 °C;7,7 W;4,0 W;0,1 W;6,9 %;76,6 %;53,0 °C;0,0 %;66,9 %
2025-06-04 16:14:48;61,0 °C;57,0 °C;60,0 °C;55,0 °C;60,0 °C;10,8 W;6,7 W;0,1 W;9,2 %;76,6 %;53,0 °C;0,0 %;66,9 %
2025-06-04 16:14:50;59,0 °C;60,0 °C;62,0 °C;76,0 °C;76,0 °C;13,6 W;9,6 W;0,1 W;7,8 %;74,8 %;53,0 °C;0,0 %;66,9 %
2025-06-04 16:14:52;69,0 °C;66,0 °C;57,0 °C;57,0 °C;67,0 °C;22,8 W;18,2 W;0,0 W;12,9 %;74,8 %;53,0 °C;0,0 %;66,9 %
2025-06-04 16:14:54;55,0 °C;62,0 °C;56,0 °C;56,0 °C;63,0 °C;25,8 W;21,4 W;0,1 W;14,1 %;74,6 %;53,0 °C;0,0 %;66,9 %
2025-06-04 16:14:56;60,0 °C;62,0 °C;56,0 °C;57,0 °C;64,0 °C;28,0 W;22,4 W;0,2 W;15,9 %;73,2 %;53,0 °C;0,0 %;66,9 %
2025-06-04 16:14:58;65,0 °C;64,0 °C;54,0 °C;55,0 °C;67,0 °C;27,8 W;22,5 W;0,7 W;20,3 %;72,7 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:15:00;58,0 °C;78,0 °C;53,0 °C;59,0 °C;78,0 °C;25,1 W;19,6 W;0,1 W;13,5 %;72,7 %;53,0 °C;0,0 %;66,9 %
2025-06-04 16:15:02;66,0 °C;60,0 °C;60,0 °C;55,0 °C;67,0 °C;26,0 W;20,7 W;0,0 W;12,7 %;72,7 %;53,0 °C;0,0 %;66,9 %
