Timestamp,Voltage (V),Voltage Adjusted (V),Current (A),Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
02:46:53.883,2.43,0.01,0.12,0.62,113.095,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:54.874,2.43,0.02,0.17,0.86,114.086,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:55.866,2.43,0.02,0.17,0.86,115.078,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:56.883,2.44,0.02,0.22,1.11,116.095,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:57.870,2.42,0.01,0.07,0.37,117.082,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:58.888,2.43,0.02,0.17,0.86,118.1,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:59.877,2.44,0.03,0.27,1.35,119.089,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:00.860,2.44,0.03,0.27,1.35,120.072,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:01.881,2.43,0.02,0.17,0.86,121.093,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:02.867,2.42,0.01,0.07,0.37,122.079,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:03.890,2.43,0.02,0.17,0.86,123.102,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:04.888,2.44,0.03,0.27,1.35,124.1,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:05.875,2.43,0.01,0.12,0.62,125.087,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:06.862,2.43,0.02,0.17,0.86,126.074,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:07.885,2.44,0.02,0.22,1.11,127.097,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:08.874,2.43,0.02,0.17,0.86,128.086,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:09.861,2.43,0.02,0.17,0.86,129.073,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:10.881,2.43,0.01,0.12,0.62,130.093,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:11.868,2.44,0.03,0.27,1.35,131.08,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
