Timestamp,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
03:33:59.726,45.2,22.2,2.63465,119.439,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:00.955,44.3,22.2,2.6367,120.668,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:02.182,44.3,30.0,2.65041,121.895,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:03.411,44.3,25.0,2.65226,123.124,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:04.643,44.8,25.0,2.65041,124.356,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:05.871,43.8,22.2,2.64716,125.584,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:07.109,44.3,30.0,2.65551,126.822,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:08.338,44.3,22.2,2.65346,128.051,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:09.563,44.8,14.3,2.65031,129.276,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:10.789,44.8,22.2,2.64596,130.502,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:12.019,44.3,22.2,2.6428,131.732,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:13.253,44.8,22.2,2.6241,132.966,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:14.486,43.3,30.0,2.625,134.199,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:15.714,44.3,22.2,2.63575,135.427,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:16.944,45.2,22.2,2.64696,136.657,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:18.173,44.8,25.0,2.64065,137.886,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:19.402,44.3,22.2,2.64065,139.115,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:20.643,44.8,30.0,2.6375,140.356,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
