Relative Time (s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
208.0,41.868,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
209.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
210.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
211.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
212.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
213.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
214.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
215.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
216.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
217.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
218.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
219.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
220.0,44.303,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
221.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
222.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
223.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
224.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
225.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
226.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
227.0,43.816,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
228.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
229.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
230.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
231.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
232.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
233.0,41.868,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
234.0,43.816,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
235.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
236.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
