Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
09:32:47.000,38.0,38.0,38.0,38.0,38.0,3.2,0.8,0.0,0.0,624.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:32:50.000,42.0,42.0,42.0,42.0,42.0,3.7,1.3,0.0,0.0,627.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:32:53.000,42.0,42.0,42.0,42.0,42.0,3.4,1.0,0.0,0.0,630.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:32:56.000,44.0,44.0,44.0,44.0,44.0,3.2,0.8,0.0,0.0,633.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:32:59.000,44.0,44.0,44.0,44.0,44.0,3.1,0.7,0.0,0.0,636.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:02.000,43.0,43.0,43.0,43.0,43.0,3.2,0.8,0.0,0.0,639.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:05.000,43.0,43.0,43.0,43.0,43.0,3.2,0.8,0.0,0.0,642.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:08.000,38.0,38.0,38.0,38.0,39.0,3.3,0.9,0.0,0.0,645.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:11.000,38.0,38.0,38.0,38.0,39.0,3.1,0.7,0.0,0.0,648.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:14.000,44.0,44.0,44.0,44.0,44.0,3.1,0.7,0.0,0.0,651.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:17.000,41.0,41.0,41.0,41.0,41.0,3.2,0.8,0.0,0.0,654.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:20.000,43.0,43.0,43.0,43.0,43.0,3.2,0.8,0.0,0.0,657.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:23.000,40.0,40.0,40.0,40.0,40.0,3.2,0.8,0.0,0.0,660.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:26.000,42.0,42.0,42.0,42.0,42.0,3.1,0.7,0.0,0.0,663.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:29.000,37.0,37.0,37.0,38.0,39.0,3.5,1.0,0.0,0.0,666.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:32.000,39.0,39.0,39.0,39.0,39.0,3.4,1.0,0.0,0.0,669.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:35.000,43.0,43.0,43.0,43.0,43.0,3.2,0.8,0.0,0.0,672.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:38.000,43.0,43.0,43.0,43.0,43.0,3.3,0.9,0.0,0.0,675.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:41.000,40.0,40.0,40.0,40.0,40.0,3.1,0.7,0.0,0.0,678.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:44.000,43.0,43.0,43.0,43.0,43.0,3.1,0.7,0.0,0.0,681.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:47.000,39.0,39.0,39.0,39.0,39.0,3.2,0.8,0.0,0.0,684.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:50.000,43.0,43.0,43.0,43.0,43.0,3.3,0.9,0.0,0.0,687.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:53.000,39.0,39.0,39.0,39.0,39.0,3.4,1.0,0.0,0.0,690.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:56.000,44.0,44.0,44.0,44.0,44.0,3.1,0.7,0.0,0.0,693.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:33:59.000,44.0,44.0,44.0,44.0,44.0,3.2,0.8,0.0,0.0,696.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:34:02.000,41.0,41.0,41.0,41.0,41.0,4.6,2.1,0.0,0.0,699.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:34:05.000,41.0,41.0,41.0,41.0,41.0,3.7,1.3,0.0,0.0,702.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:34:08.000,42.0,42.0,42.0,41.0,41.0,3.4,1.0,0.0,0.0,705.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:34:11.000,39.0,39.0,39.0,39.0,40.0,3.2,0.7,0.0,0.0,708.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:34:14.000,42.0,42.0,42.0,42.0,42.0,3.2,0.8,0.0,0.0,711.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:34:17.000,44.0,44.0,44.0,44.0,44.0,3.2,0.8,0.0,0.0,714.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:34:20.000,41.0,41.0,41.0,41.0,41.0,3.5,1.0,0.0,0.0,717.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:34:23.000,45.0,45.0,45.0,45.0,45.0,3.4,1.0,0.0,0.0,720.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:34:26.000,43.0,43.0,43.0,43.0,43.0,3.1,0.7,0.0,0.0,723.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
