Horodatage;Timestamp (s);Tension (V);Courant (A);Puissance (W)
2025-03-30 19:59/23;218.97;2.39;0.62;3.08
2025-03-30 19:59/24;220.07;2.38;0.66;3.29
2025-03-30 19:59/25;221.17;2.39;0.61;3.04
2025-03-30 19:59/26;222.28;2.39;0.62;3.08
2025-03-30 19:59/27;223.38;2.40;0.53;2.66
2025-03-30 19:59/28;224.48;2.38;0.63;3.14
2025-03-30 19:59/29;225.58;2.39;0.61;3.03
2025-03-30 19:59/31;226.68;2.39;0.58;2.89
2025-03-30 19:59/32;227.78;2.38;0.65;3.25
2025-03-30 19:59/33;228.89;2.38;0.66;3.32
2025-03-30 19:59/34;229.99;2.39;0.61;3.04
2025-03-30 19:59/35;231.09;2.39;0.61;3.03
2025-03-30 19:59/36;232.19;2.38;0.64;3.18
2025-03-30 19:59/37;233.29;2.39;0.62;3.08
2025-03-30 19:59/38;234.4;2.39;0.61;3.03
2025-03-30 19:59/39;235.5;2.38;0.65;3.24
2025-03-30 19:59/40;236.6;2.39;0.60;3.01
2025-03-30 19:59/42;237.7;2.39;0.61;3.03
2025-03-30 19:59/43;238.8;2.38;0.65;3.24
2025-03-30 19:59/44;239.9;2.39;0.61;3.03
2025-03-30 19:59/45;241.0;2.37;0.69;3.43
2025-03-30 19:59/46;242.1;2.35;0.78;3.92
2025-03-30 19:59/47;243.21;2.35;0.80;3.99
2025-03-30 19:59/48;244.31;2.35;0.79;3.94
2025-03-30 19:59/49;245.41;2.35;0.81;4.07
2025-03-30 19:59/50;246.51;2.37;0.72;3.61
